100001;[92032]
100002;[92019]
100003;[92078]
100004;[92033]
100005;[92012]
100006;[92062,92073]
100007;[92035,92040]
100008;[92026,92035,92050,92062,92073]
100009;[92002,92012,92019,92044,92047]
100010;[92004,92009,92024,92026,92025,92035,92036,92050,92062,92073]
100011;[92014,92035,92060,92004,92050,92044,92020,92019,92012,92009]
100012;[92004,92009,92012,92024,92025,92026,92033,92035,92036,92044,92047,92050,92051,92062,92063,92064,92072,92073,92077,92078]
100013;[92002,92004,92009,92014,92019,92020,92022,92023,92026,92032,92033,92035,92040,92044,92048,92060,92063,92064,92072,92075]
100014;[92002,92004,92007,92009,92012,92014,92019,92020,92022,92023,92024,92025,92026,92032,92033,92035,92036,92040,92044,92046,92047,92048,92049,92050,92051,92060,92062,92063,92064,92071,92072,92073,92075,92076,92077,92078]
100015;[93072]
100016;[93045]
100017;[93059]
100018;[93046]
100019;[93027]
100020;[93031,93039]
100021;[93032,93049]
100022;[93014,93015,93032,93050,93077]
100023;[93007,93049,93057,93064,93074]
100024;[93005,93014,93015,93032,93046,93047,93062,93064,93071,93077]
100025;[93005,93014,93027,93030,93046,93063,93071,93072,93074,93077]
100026;[93001,93005,93007,93008,93013,93027,93029,93030,93031,93039,93048,93053,93055,93059,93063,93064,93066,93070,93072,93079]
100027;[93062,93072,93010,93074,93057,93007,93078,93063,93070,93071,93008,93046,93050,93053,93066,93039,93013,93073,93032,93077]
100028;[93001,93005,93006,93007,93008,93010,93013,93014,93015,93027,93029,93030,93031,93032,93033,93039,93045,93046,93047,93048,93049,93050,93051,93053,93055,93057,93059,93061,93062,93063,93064,93066,93070,93071,93072,93073,93074,93077,93078,93079]
100029;[94018]
100030;[94011]
100031;[94002]
100032;[94076]
100033;[94037]
100034;[94003,94016]
100035;[94074,94003]
100036;[94047,94075,94056,94044,94028]
100037;[94041,94065,94043,94002,94080]
100038;[94001,94077,94054,94073,94021,94022,94081,94041,94076,94002]
100039;[94069,94053,94046,94070,94047,94038,94068,94015,94019,94065]
100040;[94059,94017,94079,94060,94015,94052,94053,94055,94019,94033,94071,94042,94046,94069,94002,94048,94068,94018,94028,94022]
100041;[94028,94038,94079,94075,94018,94077,94055,94056,94011,94004,94022,94002,94019,94016,94052,94043,94069,94033,94047,94046]
100042;[94001,94002,94003,94004,94011,94015,94016,94017,94018,94019,94021,94022,94028,94033,94034,94037,94038,94041,94042,94043,94044,94046,94047,94048,94052,94053,94054,94055,94056,94058,94059,94060,94065,94067,94068,94069,94070,94071,94073,94074,94075,94076,94077,94078,94079,94080,94081]
100043;[75102]
100044;[75103]
100045;[75115]
100046;[75110]
100047;[75120]
100048;[75114,75106]
100049;[75113,75102]
100050;[75118,75119,75117,75110,75109]
100051;[75106,75104,75111,75103,75110]
100052;[75101,75109,75108,75104,75106,75118,75103,75117,75102,75114]
100053;[75105,75115,75106,75102,75120,75119,75116,75108,75107,75103]
100054;[75104,75105,75111,75103,75106,75101,75115,75114,75107,75113,75112,75116,75110,75118,75102,75108,75109,75120,75117,75119]
100055;[75101,75105,75116,75102,75117,75103,75111,75110,75120,75104,75118,75108,75119,75112,75113,75115,75114,75106,75107,75109]
100056;[75107,75116,75112,75105,75102,75109,75120,75104,75117,75106,75119,75114,75103,75110,75108,75113,75118,75111,75115,75101]
100057;[75115,92040]
100058;[75111,92020]
100059;[75116,92073,75108,75117,92050]
100060;[75108,92077,92026,92073,75118]
100061;[75117,92044,92026,92051,92024,92050,75108,92035,75109,75116]
100062;[75109,92051,75116,92040,75104,92026,75101,92019,75107,75119]
100063;[75117,92051,92044,75108,75101,75116,75115,75107,75118,75104,92062,75106,92073,92064,75114,75105,92024,75109,92012,92063]
100064;[75103,92032,92075,92012,92019,92071,92014,75113,92035,92036,92044,92062,92040,92051,75120,92047,92004,75105,75118,75119]
